frame_id,track_id,x1,y1,x2,y2
0.0,1.0,512,984,1080,1444
0.0,2.0,1216,655,1552,1200
0.0,3.0,1914,439,2293,852
0.0,4.0,2898,624,3309,1118
0.0,5.0,888,662,1186,1149
0.0,6.0,1688,708,2013,1248
0.0,7.0,2016,1260,2714,1596
0.0,8.0,2650,218,2957,590
0.0,9.0,2016,739,2392,1315
0.0,10.0,1426,1396,2013,1656
1.0,1.0,520,984,1072,1430
1.0,2.0,1224,664,1554,1197
1.0,3.0,1920,446,2288,847
1.0,4.0,2882,628,3285,1113
1.0,5.0,896,696,1178,1161
1.0,6.0,1696,698,2005,1214
1.0,7.0,2016,1260,2714,1596
1.0,8.0,2648,223,2960,597
1.0,9.0,2008,732,2384,1300
1.0,10.0,1546,1346,1973,1708
2.0,1.0,512,984,1072,1435
2.0,2.0,1224,662,1554,1200
2.0,3.0,1904,420,2298,847
2.0,4.0,2882,636,3274,1108
2.0,5.0,880,720,1184,1216
2.0,6.0,1688,700,1997,1212
2.0,7.0,2008,1255,2714,1596
2.0,8.0,2624,211,2946,600
2.0,9.0,1992,727,2384,1320
2.0,10.0,1560,1375,1957,1708
2.0,11.0,1496,1168,1784,1396
3.0,1.0,520,984,1088,1444
3.0,2.0,1218,655,1549,1192
3.0,3.0,1912,422,2306,847
3.0,4.0,2880,640,3269,1108
3.0,5.0,872,739,1186,1248
3.0,6.0,1688,708,1992,1214
3.0,7.0,2008,1252,2725,1593
3.0,8.0,2624,218,2938,595
3.0,9.0,2008,732,2392,1312
3.0,11.0,1496,1168,1784,1396
4.0,1.0,544,984,1112,1440
4.0,2.0,1224,667,1552,1197
4.0,3.0,1898,400,2317,852
4.0,4.0,2888,655,3264,1111
4.0,5.0,866,751,1186,1260
4.0,6.0,1682,712,1981,1216
4.0,7.0,2002,1250,2717,1596
4.0,8.0,2626,232,2930,592
4.0,9.0,2002,734,2373,1298
4.0,11.0,1490,1168,1778,1396
5.0,1.0,552,984,1120,1440
5.0,2.0,1224,674,1552,1195
5.0,3.0,1904,398,2325,852
5.0,4.0,2880,662,3264,1130
5.0,5.0,888,756,1192,1224
5.0,6.0,1682,710,1981,1214
5.0,7.0,2002,1250,2722,1596
5.0,8.0,2632,242,2928,597
5.0,9.0,2024,732,2384,1272
5.0,11.0,1488,1166,1776,1396
6.0,1.0,546,984,1109,1428
6.0,2.0,1218,684,1546,1190
6.0,3.0,1920,412,2328,849
6.0,4.0,2872,662,3264,1137
6.0,5.0,896,758,1184,1192
6.0,6.0,1682,708,1986,1214
6.0,7.0,2002,1248,2725,1596
6.0,8.0,2640,252,2928,592
6.0,9.0,2032,732,2381,1252
6.0,11.0,1480,1164,1776,1396
6.0,10.0,1490,1380,2021,1708
7.0,1.0,528,986,1096,1428
7.0,2.0,1210,679,1538,1183
7.0,3.0,1928,410,2336,844
7.0,4.0,2864,664,3258,1137
7.0,5.0,896,775,1194,1212
