frame_id,track_id,x1,y1,x2,y2
0,1.0,514,986,1082,1447
0,2.0,1216,657,1552,1202
0,3.0,1917,441,2298,854
0,4.0,2901,624,3312,1120
0,5.0,890,664,1189,1152
0,6.0,1690,708,2016,1250
0,7.0,2016,1262,2717,1598
0,8.0,2653,220,2962,592
0,9.0,2016,741,2394,1317
0,10.0,1429,1399,2018,1660
1,1.0,520,984,1074,1432
1,2.0,1226,667,1557,1202
1,3.0,1920,448,2290,849
1,4.0,2885,631,3288,1118
1,5.0,896,698,1181,1164
1,6.0,1698,700,2008,1216
1,7.0,2016,1260,2717,1596
1,8.0,2650,225,2962,600
1,9.0,2010,734,2386,1305
1,10.0,1549,1348,1976,1711
2,1.0,512,984,1074,1437
2,2.0,1224,664,1557,1202
2,3.0,1906,420,2301,849
2,4.0,2885,638,3277,1113
2,5.0,882,722,1186,1219
2,6.0,1690,703,2000,1216
2,7.0,2008,1257,2717,1598
2,8.0,2626,213,2949,602
2,9.0,1992,729,2384,1322
2,10.0,1562,1377,1960,1711
2,11.0,1496,1171,1784,1401
3,1.0,520,986,1090,1447
3,2.0,1221,657,1554,1195
3,3.0,1914,424,2309,849
3,4.0,2882,643,3272,1113
3,5.0,872,741,1189,1252
3,6.0,1688,708,1994,1216
3,7.0,2010,1255,2728,1598
3,8.0,2626,220,2941,597
3,9.0,2008,734,2392,1317
3,11.0,1496,1171,1784,1401
4,1.0,544,986,1112,1442
4,2.0,1224,669,1554,1200
4,3.0,1901,403,2320,856
4,4.0,2888,657,3266,1113
4,5.0,869,753,1189,1262
4,6.0,1685,715,1986,1219
4,7.0,2005,1252,2722,1598
4,8.0,2629,235,2933,597
4,9.0,2005,736,2378,1300
4,11.0,1493,1171,1781,1399
5,1.0,552,986,1122,1442
5,2.0,1224,676,1552,1197
5,3.0,1906,400,2328,854
5,4.0,2880,664,3266,1132
5,5.0,888,756,1192,1226
5,6.0,1685,712,1986,1216
5,7.0,2005,1252,2725,1598
5,8.0,2632,244,2930,600
5,9.0,2024,734,2384,1274
5,11.0,1488,1168,1778,1399
6,1.0,549,986,1114,1432
6,2.0,1221,684,1549,1192
6,3.0,1920,415,2330,854
6,4.0,2874,664,3266,1140
6,5.0,898,760,1186,1195
6,6.0,1685,708,1989,1216
6,7.0,2005,1248,2728,1596
6,8.0,2640,252,2930,595
6,9.0,2034,734,2384,1255
6,11.0,1482,1166,1778,1401
6,10.0,1493,1382,2024,1711
7,1.0,530,988,1098,1430
7,2.0,1213,681,1541,1185
7,3.0,1928,412,2336,847
7,4.0,2866,667,3261,1142
7,5.0,898,777,1197,1216
7,6.0,1682,705,1989,1219
7,7.0,2005,1248,2725,1593
7,8.0,2632,264,2917,595
7,9.0,2042,741,2381,1243
7,11.0,1474,1164,1770,1399
7,12.0,1136,1605,1501,1972
7,10.0,1549,1372,1970,1701
8,1.0,522,1000,1069,1420
8,2.0,1210,681,1541,1180
8,3.0,1933,412,2341,842
8,4.0,2850,664,3245,1142
8,5.0,901,792,1221,1252
8,6.0,1674,703,1992,1238
8,7.0,2005,1248,2720,1591
8,8.0,2608,278,2901,616
8,9.0,2048,748,2384,1238
8,12.0,1130,1598,1498,1968
8,10.0,1453,1228,2061,1706
9,1.0,525,1012,1061,1418
9,2.0,1202,679,1544,1185
9,3.0,1936,415,2346,840
9,4.0,2821,667,3216,1140
9,5.0,898,799,1248,1298
9,6.0,1677,705,1992,1236
9,7.0,2002,1248,2717,1591
9,8.0,2584,288,2877,624
9,9.0,2045,748,2384,1243
9,10.0,1437,1356,1989,1696
10,1.0,530,1022,1066,1425
10,2.0,1213,674,1560,1178
10,3.0,1944,439,2338,840
10,4.0,2808,667,3208,1142
10,5.0,912,794,1272,1303
10,6.0,1677,703,1986,1226
10,7.0,2000,1245,2717,1591
10,8.0,2557,297,2850,628
10,9.0,2034,753,2381,1257
10,10.0,1464,1363,1984,1706
10,11.0,1466,1164,1768,1401
10,12.0,1122,1593,1498,1972
11,1.0,533,1024,1072,1430
11,2.0,1216,674,1573,1183
11,3.0,1941,444,2341,842
11,4.0,2805,676,3202,1142
11,5.0,925,792,1290,1308
11,6.0,1677,705,1984,1226
11,7.0,2005,1243,2720,1586
11,8.0,2546,295,2845,626
11,9.0,2037,758,2397,1274
11,10.0,1501,1336,2002,1708
11,11.0,1458,1164,1768,1406
12,1.0,546,1022,1082,1428
12,2.0,1205,669,1578,1190
12,3.0,1925,429,2349,847
12,4.0,2802,679,3200,1140
12,5.0,933,782,1309,1308
12,6.0,1674,705,1978,1221
12,7.0,1997,1245,2709,1586
12,8.0,2530,295,2834,626
12,9.0,2029,753,2400,1284
12,10.0,1506,1358,1994,1708
12,11.0,1437,1161,1776,1428
12,13.0,5,504,112,703
13,1.0,562,1024,1090,1428
13,2.0,1194,662,1581,1190
13,3.0,1925,436,2341,842
13,4.0,2786,679,3189,1142
13,5.0,944,784,1317,1305
13,6.0,1669,698,1978,1221
13,7.0,1986,1245,2696,1586
13,8.0,2517,300,2824,626
13,9.0,2018,748,2397,1291
13,10.0,1496,1360,1989,1706
13,11.0,1440,1161,1773,1425
13,13.0,2,506,106,703
14,1.0,565,1017,1106,1437
14,2.0,1186,664,1578,1183
14,3.0,1920,434,2344,840
14,4.0,2778,684,3189,1154
14,5.0,949,794,1320,1305
14,6.0,1661,698,1973,1226
14,7.0,1986,1243,2696,1584
14,8.0,2512,312,2821,628
14,9.0,2002,736,2376,1276
14,10.0,1485,1363,1986,1708
14,11.0,1418,1156,1778,1442
14,13.0,0,508,109,712
15,1.0,573,1012,1122,1447
15,2.0,1178,674,1568,1176
15,3.0,1912,434,2344,842
15,4.0,2760,679,3173,1156
15,5.0,941,806,1328,1341
15,6.0,1653,693,1968,1224
15,7.0,1986,1238,2704,1586
15,8.0,2493,324,2829,660
15,9.0,2002,736,2365,1264
15,10.0,1477,1360,1992,1706
15,11.0,1426,1154,1760,1418
15,13.0,0,501,120,746
15,12.0,1112,1600,1472,1963
16,1.0,573,1015,1144,1473
16,2.0,1178,686,1562,1166
16,3.0,1906,434,2346,847
16,4.0,2744,676,3173,1178
16,5.0,930,818,1336,1377
16,6.0,1650,691,1962,1216
16,7.0,1973,1219,2725,1588
16,8.0,2482,340,2832,679
16,9.0,2002,741,2357,1255
16,10.0,1466,1363,1984,1706
16,11.0,1421,1156,1744,1408
16,13.0,0,504,117,751
17,1.0,573,1008,1149,1478
17,2.0,1170,703,1568,1185
17,3.0,1901,436,2346,849
17,4.0,2741,681,3181,1200
17,5.0,941,830,1322,1353
17,6.0,1653,691,1962,1214
17,7.0,1965,1207,2725,1586
17,8.0,2466,350,2832,696
17,9.0,2005,741,2357,1250
17,10.0,1450,1363,1970,1704
17,11.0,1410,1152,1741,1406
17,13.0,0,508,138,804
17,12.0,1101,1598,1469,1970
18,1.0,562,1005,1133,1483
18,2.0,1160,700,1576,1192
18,3.0,1893,434,2341,844
18,4.0,2741,681,3181,1207
18,5.0,936,842,1320,1370
18,6.0,1661,710,1962,1219
18,7.0,1968,1204,2720,1584
18,8.0,2448,355,2816,693
18,9.0,2008,741,2362,1248
18,10.0,1440,1368,1957,1704
18,11.0,1397,1144,1741,1408
18,13.0,0,504,157,818
19,1.0,557,1005,1122,1488
19,2.0,1154,696,1578,1190
19,3.0,1888,434,2338,842
19,4.0,2757,679,3197,1209
19,5.0,928,844,1328,1394
19,6.0,1661,712,1962,1221
19,7.0,1973,1202,2717,1581
19,8.0,2437,355,2813,691
19,9.0,2002,741,2357,1248
19,10.0,1426,1365,1954,1708
19,11.0,1392,1144,1736,1404
19,13.0,2,501,173,828
20,1.0,557,1005,1117,1495
20,2.0,1160,708,1576,1178
20,3.0,1880,441,2333,844
20,4.0,2760,667,3210,1214
20,5.0,917,840,1330,1411
20,6.0,1661,710,1968,1228
20,7.0,1973,1204,2693,1574
20,8.0,2418,352,2805,693
20,9.0,2000,739,2368,1262
20,10.0,1413,1358,1952,1708
20,11.0,1405,1147,1746,1399
20,13.0,10,496,189,830
21,1.0,549,1003,1125,1521
21,2.0,1162,710,1576,1164
21,3.0,1882,456,2328,844
21,4.0,2757,655,3216,1216
21,5.0,912,832,1333,1413
21,6.0,1661,700,1968,1219
21,7.0,2005,1207,2661,1543
21,8.0,2410,367,2794,700
21,9.0,1989,736,2370,1276
21,10.0,1405,1351,1960,1713
21,11.0,1413,1147,1765,1401
21,13.0,13,494,194,830
22,1.0,552,1005,1122,1531
22,2.0,1152,708,1584,1180
22,3.0,1882,463,2328,847
22,4.0,2752,648,3213,1216
22,5.0,906,832,1325,1413
22,6.0,1661,700,1965,1219
22,7.0,2029,1221,2645,1536
22,8.0,2394,367,2786,705
22,9.0,1986,744,2370,1284
22,10.0,1400,1344,1949,1704
22,11.0,1418,1149,1768,1396
22,13.0,13,494,197,830
23,1.0,573,998,1114,1504
23,2.0,1144,705,1581,1176
23,3.0,1874,458,2328,847
23,4.0,2752,648,3210,1224
23,5.0,906,832,1328,1416
23,6.0,1664,705,1968,1226
23,7.0,2037,1228,2656,1548
23,8.0,2384,381,2770,715
23,9.0,2002,751,2373,1267
23,10.0,1413,1339,1928,1670
23,11.0,1392,1147,1749,1389
23,13.0,13,492,200,825
24,1.0,597,1005,1101,1483
24,2.0,1144,712,1584,1178
24,3.0,1874,465,2325,847
24,4.0,2744,652,3202,1238
24,5.0,901,837,1344,1454
24,6.0,1664,705,1976,1240
24,7.0,2048,1233,2661,1550
24,8.0,2346,379,2768,751
24,9.0,2010,756,2376,1260
24,10.0,1418,1339,1925,1658
24,11.0,1365,1149,1749,1399
24,13.0,8,496,205,849
25,1.0,616,1000,1098,1466
25,2.0,1165,708,1610,1176
25,3.0,1856,446,2330,844
25,4.0,2736,652,3194,1250
25,5.0,904,847,1352,1471
25,6.0,1666,717,1970,1240
25,7.0,2034,1236,2632,1550
25,8.0,2322,372,2757,763
25,9.0,1989,760,2362,1264
25,10.0,1410,1348,1904,1656
25,11.0,1346,1147,1757,1406
25,13.0,0,506,216,897
26,1.0,629,1005,1098,1464
26,2.0,1173,708,1621,1176
26,3.0,1853,441,2341,849
26,4.0,2746,650,3186,1231
26,5.0,912,852,1370,1495
26,6.0,1672,722,1973,1243
26,7.0,2042,1233,2634,1545
26,8.0,2312,372,2744,770
26,9.0,1986,758,2368,1264
26,10.0,1400,1351,1901,1658
26,11.0,1338,1147,1757,1401
26,13.0,0,518,218,912
26,12.0,1082,1591,1472,1984
27,1.0,648,1015,1101,1461
27,2.0,1173,698,1626,1168
27,3.0,1856,441,2341,844
27,4.0,2757,650,3181,1219
27,5.0,922,854,1378,1500
27,6.0,1680,717,1976,1231
27,7.0,2026,1236,2618,1555
27,8.0,2306,372,2736,772
27,9.0,2002,758,2381,1260
27,10.0,1392,1353,1893,1658
27,11.0,1328,1147,1754,1396
27,13.0,0,528,218,921
27,12.0,1085,1593,1474,1992
28,1.0,656,1005,1112,1461
28,2.0,1173,698,1632,1173
28,3.0,1853,446,2338,847
28,4.0,2762,655,3176,1214
28,5.0,941,852,1370,1464
28,6.0,1682,722,1976,1228
28,7.0,2053,1238,2637,1555
28,8.0,2312,388,2720,775
28,9.0,1997,758,2378,1264
28,10.0,1386,1353,1888,1656
28,11.0,1314,1149,1754,1399
28,13.0,0,535,213,919
28,12.0,1085,1593,1477,1996
29,1.0,661,1003,1114,1461
29,2.0,1173,693,1645,1183
29,3.0,1853,451,2330,844
29,4.0,2776,669,3176,1214
29,5.0,949,847,1365,1437
29,6.0,1682,722,1981,1243
29,7.0,2048,1240,2621,1552
29,8.0,2306,398,2704,775
29,9.0,1994,760,2400,1293
29,10.0,1381,1353,1888,1658
29,11.0,1309,1154,1757,1399
29,13.0,0,537,213,921
30,1.0,661,1003,1120,1471
30,2.0,1170,693,1650,1192
30,3.0,1848,458,2325,854
30,4.0,2776,676,3168,1216
30,5.0,952,849,1362,1432
30,6.0,1685,722,1984,1245
30,7.0,2053,1240,2621,1548
30,8.0,2314,415,2696,775
